Year,Region,Country,Brand,EV_Sales,Charging_Stations,Market_Share
2021,North America,USA,Hyundai,40147,6077,14.31
2018,Africa,Egypt,Rivian,65582,14883,8.26
2025,Oceania,New Zealand,Rivian,80829,4726,16.14
2022,South America,Brazil,Hyundai,97830,9045,24.75
2019,Oceania,New Zealand,BYD,73474,13860,1.99
2021,North America,Canada,Hyundai,84931,18274,5.05
2024,North America,Canada,Volkswagen,18974,4012,5.3
2017,North America,Mexico,Hyundai,37902,7846,11.73
2021,Africa,South Africa,BYD,82987,6303,1.99
2025,North America,Mexico,Rivian,17004,2201,12.46
2025,Europe,France,Nissan,7268,1794,23.29
2022,Oceania,Australia,Volkswagen,74543,18470,1.28
2019,Asia,South Korea,Nissan,95846,16340,9.76
2018,South America,Chile,Volkswagen,1120,214,19.26
2022,North America,USA,Kia,20947,5032,4.71
2022,Oceania,New Zealand,BYD,99257,13894,2.86
2017,North America,Mexico,Kia,19618,1517,16.14
2020,Africa,Egypt,Kia,62551,11496,1.24
2019,North America,Mexico,Rivian,47099,11398,20.24
2016,North America,Mexico,Hyundai,66994,12691,2.6
2022,North America,USA,Kia,10700,2254,13.58
2020,North America,USA,Tesla,95354,12829,18.76
2016,South America,Chile,Volkswagen,99566,6899,6.81
2019,Oceania,Australia,Rivian,59204,4959,3.48
2015,Africa,Egypt,BMW,53987,13309,5.21
2024,North America,USA,Tesla,46965,6980,21.51
2020,North America,USA,Tesla,30340,1589,17.94
2023,North America,Mexico,Hyundai,88940,21441,5.75
2015,North America,Canada,BMW,18935,2831,18.19
2025,Europe,Germany,Kia,48397,10514,18.01
2025,Europe,Sweden,BMW,98107,15666,24.95
2024,Asia,India,Kia,64376,4528,10.4
2017,North America,USA,Nissan,90227,15619,21.76
2021,Asia,India,BYD,49912,12452,11.71
2018,South America,Brazil,Hyundai,72782,4144,22.55
2023,Asia,China,Kia,28984,6328,3.2
2017,Oceania,Australia,Kia,39158,3802,5.21
2019,Europe,UK,BMW,6553,843,21.4
2017,Europe,France,Hyundai,82555,10281,20.66
2021,North America,Canada,Volkswagen,55751,12809,8.33
2019,North America,Canada,Kia,41145,6208,15.32
2023,South America,Chile,Nissan,3045,424,10.18
2021,Africa,Egypt,Tesla,80483,17191,1.25
2016,South America,Brazil,Kia,95995,5738,1.63
2018,Oceania,Australia,BMW,77713,5229,2.3
2023,North America,USA,Volkswagen,9060,492,15.26
2016,North America,Mexico,Rivian,62875,11795,7.7
2024,South America,Brazil,Nissan,4162,645,4.45
2023,South America,Chile,Hyundai,79091,17811,23.59
2024,South America,Chile,Kia,39997,5987,3.91
2019,Europe,France,Nissan,53106,5011,17.18
2016,Asia,China,Rivian,62612,13212,22.46
2018,Asia,India,Nissan,78834,8582,4.93
2021,North America,Mexico,Volkswagen,70844,16799,6.15
2022,Europe,Germany,Nissan,8548,855,14.77
2017,South America,Chile,Nissan,79143,6611,13.2
2015,North America,Mexico,Volkswagen,7020,1043,13.5
2018,Europe,Norway,Volkswagen,17428,1047,14.31
2016,Oceania,Australia,Rivian,55868,3200,23.8
2022,Africa,Egypt,Volkswagen,24001,3581,2.29
2018,Europe,UK,Nissan,54251,5046,19.25
2016,North America,USA,Nissan,36691,1903,6.58
2020,Asia,China,BYD,29976,3273,9.97
2020,South America,Brazil,Hyundai,27448,3992,3.14
2024,Africa,Egypt,Tesla,4983,642,11.7
2018,Oceania,New Zealand,Hyundai,56623,4365,20.3
2020,Africa,Egypt,BMW,40387,6701,3.37
2016,Africa,South Africa,BMW,83517,16040,7.61
2024,Europe,Germany,Rivian,76754,14207,9.95
2016,North America,Canada,Volkswagen,81409,10481,3.49
2024,North America,USA,Hyundai,89280,6920,19.3
2018,Africa,Egypt,Nissan,61555,9226,19.89
2022,South America,Brazil,BYD,93665,21363,21.06
2021,North America,Mexico,Tesla,31757,4564,15.01
2023,Africa,Egypt,Kia,18827,1678,13.17
2022,North America,Canada,Kia,71804,4926,7.3
2019,South America,Chile,Nissan,25366,6057,16.72
2016,Oceania,Australia,Hyundai,45149,8966,11.67
2019,Africa,South Africa,Kia,9666,1088,24.3
2022,Asia,China,Hyundai,96779,10555,24.24
2024,Asia,India,BYD,82834,18972,22.72
2023,Africa,South Africa,BYD,9542,815,9.64
2023,Europe,France,Volkswagen,12469,1957,9.83
2015,Oceania,Australia,Hyundai,52380,10093,21.46
2023,Europe,UK,Volkswagen,73239,9468,18.5
2021,Asia,China,Nissan,64088,3715,17.9
2023,South America,Chile,Volkswagen,5141,491,7.71
2022,Africa,South Africa,Nissan,29036,6688,21
2015,North America,Mexico,Nissan,80410,12433,14.91
2022,Asia,South Korea,Kia,15046,3206,11.72
2022,Oceania,Australia,Tesla,14602,2352,21.77
2025,Asia,India,Tesla,99395,23727,10.46
2017,Oceania,New Zealand,Nissan,99553,23079,16.69
2015,Oceania,Australia,Hyundai,9529,1396,12.18
2022,Africa,South Africa,BYD,48045,5460,15.23
2017,Oceania,Australia,Volkswagen,11822,2013,1.97
2017,Europe,Germany,Rivian,13154,2433,12.07
2015,South America,Brazil,BMW,57163,8555,14.36
2025,Asia,South Korea,BYD,76001,16298,12.83
2019,South America,Brazil,BYD,60187,5216,21.34
2024,North America,USA,BMW,8008,935,8.47
2021,Asia,China,Nissan,48359,9056,22.22
2024,South America,Brazil,BYD,22632,2248,10.68
2023,South America,Brazil,BMW,66300,9147,17.67
2021,Africa,Egypt,Volkswagen,16525,4011,3.08
2023,Africa,South Africa,Kia,77524,13580,5.8
2022,North America,Canada,Hyundai,66424,15929,19.27
2016,Oceania,Australia,Hyundai,68107,13246,1.3
2015,Asia,China,Hyundai,25470,4964,24.24
2021,Africa,Egypt,Nissan,48236,8121,5.58
2021,Asia,China,BYD,80490,6313,22.63
2022,North America,USA,Rivian,8340,1283,13.38
2019,Africa,Egypt,BYD,30154,3031,14.55
2017,Africa,Egypt,Tesla,77885,19450,3.02
2022,Oceania,Australia,Hyundai,52908,5470,9.77
2020,Asia,India,Nissan,86439,8310,4.75
2025,Asia,India,BMW,76467,13364,13.62
2017,Asia,India,Nissan,22942,3491,14.22
2015,Oceania,New Zealand,Rivian,65743,3567,18.03
2017,Africa,South Africa,BYD,7130,541,22.08
2019,North America,Mexico,Volkswagen,48236,10236,12.24
2017,Asia,South Korea,Volkswagen,13508,1982,6.6
2015,South America,Brazil,Volkswagen,47987,3800,9.01
2019,Oceania,New Zealand,Hyundai,68895,9855,21.33
2024,Europe,Sweden,Tesla,2893,291,4.5
2021,North America,Mexico,Rivian,95180,9015,16.05
2021,South America,Chile,Kia,56471,13640,1.31
2025,Asia,South Korea,Nissan,80127,9807,6.9
2023,Europe,UK,Tesla,88491,5246,15.19
2024,North America,USA,Volkswagen,69157,16878,11.95
2024,Oceania,Australia,Rivian,75152,15704,12.85
2017,Europe,Germany,Rivian,71007,7163,16.85
2021,Africa,Egypt,BYD,30144,3972,6.63
2015,Europe,Sweden,BMW,90115,20046,7.74
2018,South America,Chile,Nissan,94363,11463,17.43
2018,North America,Mexico,Kia,36622,5986,13.92
2019,South America,Chile,BYD,3897,611,1.35
2021,South America,Brazil,Hyundai,55069,7173,17.09
2021,Asia,China,Nissan,78448,13955,15.88
2025,Oceania,New Zealand,Rivian,52633,7613,2.89
2018,Europe,France,Tesla,49019,2659,18.94
2021,North America,USA,Volkswagen,71557,15232,13.53
2025,Africa,South Africa,Nissan,29651,2153,5.91
2017,Oceania,New Zealand,BYD,3972,567,14.42
2020,Oceania,New Zealand,BYD,52269,8675,15.29
2016,North America,USA,Volkswagen,5981,1142,23.08
2024,Oceania,Australia,Tesla,39477,5217,18.81
2023,Asia,South Korea,Kia,20383,4017,8.25
2019,Oceania,Australia,BYD,89415,6819,3.84
2020,Asia,India,Nissan,24765,4474,21.48
2018,Europe,Norway,Volkswagen,53244,11461,21.31
2025,Europe,Germany,Kia,24156,5504,5.21
2024,South America,Chile,Tesla,9804,1626,2.49
2021,Asia,South Korea,BYD,87116,9807,18.08
2023,Africa,South Africa,Volkswagen,46411,3836,18.34
2021,Europe,UK,BYD,43513,5182,5.25
2015,Oceania,New Zealand,Nissan,78481,12399,17.04
2015,North America,Canada,BYD,40814,3643,7.69
2023,North America,Canada,Volkswagen,23357,5617,7.25
2025,Asia,South Korea,Nissan,29394,6743,8.79
2023,Africa,Egypt,Hyundai,39070,2211,13.49
2018,South America,Chile,Volkswagen,66580,10812,20.31
2023,Oceania,Australia,Kia,39920,8297,12.97
2017,Asia,China,Nissan,82088,8133,8.15
